,categories,text
18,1,"Japan quake kills 18, aftershocks strike fear Strong aftershocks shook northern Japan on Sunday after the country #39;s deadliest earthquake in nine years killed at least 18 people and injured some 1,500 as houses collapsed, roads crumbled and rail tracks buckled."
19,1,"Iran vows to develop peaceful nuclear technology Iranian President Mohammad Khatami reiterated on Saturday that Iran would never seek nuclear weapons but was determined to develop peaceful nuclear technology, the official IRNA news agency reported."
20,1,Hamas plots revenge after leader assassinated By Hugh Macleod in Damascus and Donald Macintyre in Jerusalem. Hamas leaders pledged bloody retaliation yesterday after one of its senior figures in Damascus was assassinated in an attack widely read as a new 
21,1,"Hamas claims EU and US in contact with group LONDON: The United States and the European Union are in contact with Palestinian militant group Hamas despite having listed it as a terrorist organisation, a Hamas leader said in an interview broadcast on Monday."
22,1,"Dozens killed in oil pipeline explosion in Nigeria Dozens of oil scoopers had died in an oil pipeline explosion on the outskirts of Lagos, Nigeria #39;s largest city, police and witnesses said on Friday."
23,1,"Arafat condition improves, illness still a mystery PARIS Palestinian officials say a medical report on Yasser Arafat #39;s condition will be issued tomorrow or Wednesday. They say he #39;s not suffering  quot;from any serious problem."
24,1,"Over 150 people arrested in child pornography crackdown MARK COLVIN: Teachers, doctors, police and childcare workers are the people we trust with our children. But members of those professions are among more than 150 people arrested in the biggest child pornography crackdown that Australia has ever seen."
25,1,"Dutch Make New Arrest in Filmmaker Killing Case  AMSTERDAM (Reuters) - Dutch police have made a fresh arrest  in the investigation into the murder of a filmmaker who was  critical of Islam, while two other suspects were released, the  Amsterdam prosecutor said on Saturday."
26,1,"Evocative, and Steamy, Marathon Goes to Japanese Woman ATHENS, Aug. 22  The marathon was inspired by suffering, and on the day an event that is as much a test of character as a test of endurance returned to its Olympic roots, the suffering returned, too."
27,1,"Nigerian oil strike looms Lagos - Nigerian workers will disrupt their country #39;s key oil exports of 2.5 million barrels per day when they launch an indefinite general strike on November 16, the country #39;s top labour leader warned on Sunday."
28,1,Facts about Israeli leader Ariel Sharon Israeli Prime Minister Ariel Sharon seeks parliament #39;s support on Monday for his plan to quit occupied Gaza and for the first time uproot settlements from land that Palestinians want for a state.
29,1,"Protesters Attack French in Ivory Coast Rebel Town  ABIDJAN (Reuters) - Hundreds of protesters hurled Molotov  cocktails at French gendarmes in a rebel-held Ivory Coast town  on Saturday, demanding the former colonial power intervene  after government planes bombed rebel positions."
30,1,"Iran Ready to Negotiate Enrichment Halt Length  TEHRAN, Iran (Reuters) - Iran said on Monday it was willing  to negotiate with European nations the length of its uranium  enrichment suspension but will never renounce its right to  carry out the process, which can be used to make atom bombs."
31,1,"Milosevic wins appeal on defence The former Yugoslav president, Slobodan Milosevic, yesterday won back the right to lead his own defence at his trial for war crimes."
32,1,Group Asks to Protest in Central Park (AP) AP - An anti-war group planning a massive demonstration the day before the GOP convention asked a judge on Wednesday to overrule city officials and let protesters gather in Central Park.
33,1,"Iran rejects IAEA call,threatens to block checks TEHRAN - A defiant Iran yesterday rejected a resolution by the UN atomic watchdog calling for a halt to sensitive nuclear work and threatened to block tough inspections if the issue was referred to the Security Council."
34,1,Iran bill backs drive for nuclear energy Iran #39;s parliament has passed a bill obliging the government to press ahead with efforts to develop a nuclear energy programme.
35,1,"Accident at Dubai Airport Kills 8 A crane smashed into a wall during construction of an unfinished terminal at Dubai #39;s airport Monday, and witnesses reported at least eight workers were killed."
36,1,"Thai violence ahead of key talks Suspected militants kill two people in southern Thailand, ahead of a Thailand-Malaysia annual meeting."
37,1,"Merci la France: We Will Be Forever Grateful By honoring President Yasser Arafat, France has honored every Palestinian man, woman and child. For this we will be forever grateful."
38,1,"General: Bin Laden Likely Issuing Orders BAGRAM, Afghanistan - The trail has gone cold in the hunt for suspected Sept. 11 mastermind Osama bin Laden three years after the audacious attacks, but the al-Qaida chief and his No..."
39,1,"13 Palestinians killed in Gaza strike GAZA CITY, Gaza Strip -- Israeli helicopters attacked a Hamas training field yesterday morning, killing at least 13 Palestinians and wounding 25 in the bloodiest strike in Gaza in months, officials from both sides said. Most of the casualties allegedly were members of the anti-Israeli militant group."
40,1,"Insurgents Hit Baghdad Hotel With Rockets Rockets struck a Baghdad hotel housing foreign contractors and journalists late Thursday, drawing return fire and underscoring the precarious security in the heart of the Iraqi capital."
41,1,"Afghan Kidnappers Extend Deadline to Saturday Night The Afghan militant group holding three UN workers hostage on Friday extended their deadline until Saturday night to allow the Afghan government and the United Nations to hold talks with them, a spokesman for the group said."
42,1,"Saddam officials #39; trials to begin The trials of former members of Saddam Hussein #39;s Iraqi regime will begin next week, interim Prime Minister Iyad Allawi has said."
43,1,"Putin at War: Unscripted Three days after the tragedy of Beslan ended, we sat for over three and a half hours with Vladimir Putin. Between picking up the pieces of the worst Russian terror attack to date and planning "
44,1,"UPI NewsTrack TopNews The Iraqi government declared a 60-day state of emergency Sunday in response to the escalation of violence by militants. The emergency declaration covers the entire nation, with "
45,1,New polls show Australian government neck and neck with opposition (AFP) AFP - Two new polls showed Australia's conservative government and Labor opposition neck and neck after the first week of campaigning for the October 9 election.
46,1,"Singh Knocks Woods From Top Spot in Golf NORTON, Mass. - Vijay Singh has been playing the best golf in the world for a long time..."
47,1,"Virgin staff  #39;not trained for bomb #39; VIRGIN Blue had not trained its workers to cope with an emergency like the discovery of an explosive device on a flight, an airport union said today."
48,1,"China says confirmed death toll in mine explosion jumps to 129 (Canadian Press) Canadian Press - BEIJING (AP) - The death toll from China's worst coal mine accident in four years rose to 129 on Wednesday, the government said, as rescuers searched for 19 more missing miners."
49,1,UN Weighs Situation in Burundi Following Massacre  UNITED NATIONS (Reuters) - The U.N. Security Council met in  emergency session concerning Burundi on Sunday following the  massacre of more than 150 Tutsi Congolese refugees at a camp in  western Burundi.
50,1,"New Coalition Offensive Leads to Arrest of Dozens of Insurgents in &lt;b&gt;...&lt;/b&gt; American, British and Iraqi troops are continuing their effort to root out insurgents south of Baghdad, in an operation aimed at clearing the way for elections to be held in January."
51,1,"Prime minister announces new 1,700-kilometre security zone off Australia (Canadian Press) Canadian Press - SYDNEY, Australia (AP) - Australia plans to enforce a maritime security zone more than 1,700 kilometres out to sea, far beyond its territorial waters, in a move to boost defences against possible terror attacks on its soil and offshore oil and gas facilities, Prime Minister John Howard said Wednesday."
52,1,"Blast, Mushroom Cloud Reported in N. Korea SEOUL, South Korea - A large explosion occurred in the northern part of North Korea, sending a huge mushroom cloud into the air on an important anniversary of the communist regime, a South Korean news agency reported Sunday.    The Yonhap news agency, citing an unidentified source in Beijing, said the explosion happened Thursday in Yanggang province near the border with China..."
53,1,"N. Korea head purges key official SEOUL -- North Korean leader Kim Jong Il recently purged his brother-in-law from the government, removing a powerful party official who was thought to be a possible rival to Kim and his sons, South Korean intelligence officials have reported."
54,1,"System of pet passports to apply fully from Friday BRUSSELS New EU-wide legislation introducing a pet passport will be fully applicable from Friday, allowing pets and their owners to travel legally within the European Union, the European Commission said Wednesday."
55,1,"Diplomats: Iran likely to reject incentives Iran is unlikely to accept European incentives to get it to suspend uranium enrichment, diplomats said yesterday, raising the prospect of a showdown next month between Tehran and the UN nuclear-watchdog agency."
56,1,"Armed Men Attack Baghdad Bus, at Least 4 Dead  BAGHDAD (Reuters) - Gunmen attacked a bus carrying Baghdad  airport employees to work on Thursday, killing at least four  people and wounding several others, including the driver, an  airport employee said."
57,1,Tamil Tigers warn of resumed violence Sri Lanka #39;s Tamil Tiger insurgency is threatening to resume armed struggles unless the government accepts the rebels #39; blueprint for self-rule.
58,1,Brazil Raids Kroll Offices in Spy Probe Police raided the Brazilian offices of international security consultant Kroll Inc. and arrested five employees Wednesday in an investigation into allegations of illegal spying by Kroll during the company's probe of a nasty corporate dispute.
59,1,"Area's Palestinians Mourn Loss of a Symbol Despite Arafat's flaws, area residents say the leader represented struggle of the state."
60,1,"China Tests New Guided Missile Amid Taiwan Tensions  BEIJING (Reuters) - China has successfully tested a new  guided missile it says is highly accurate, state media said on  Tuesday amid rising tensions with arch-rival Taiwan."
61,1,"Hostage negotiators #39; worst nightmare A NEW breed of kidnappers, described as  #39;strategic terrorists #39;, in Iraq has led experts with experience of negotiating hostage releases to admit that lessons from the past may no longer apply."
62,1,"Kerry, Bush Campaign After Feisty Debate ELYRIA, Ohio - President Bush and Sen. John Kerry, their animosity stirred by a contentious second debate, lit into each other over Iraq, jobs and debate performance on Saturday in critical battleground states..."
63,1,"High Turnout Reported for Ghana #39;s National Elections Vote counting has begun in Tuesday #39;s general election in Ghana, where President John Kufuor is widely expected to win re-election."
64,1,"Envoys Report Progress in Iran Talks  TEHRAN, Nov. 6 -- Two days of talks in Paris between Iranian and European delegations about Iran's nuclear program ended late Saturday without a formal agreement, but diplomats said progress had been made."
65,1,FCC Puts Hold on Wholesale Phone Rates (AP) AP - Federal regulators Friday imposed a six-month freeze on the rates regional phone companies may charge their competitors to use networks to provide local service.
66,1,"Iraq Bomb Kills 7, Year After Saddam Capture  BAGHDAD (Reuters) - A suicide car bomber killed at least  seven Iraqis at an entrance to Baghdad's Green Zone government  and U.S. diplomatic compound on Monday, a year to the day since  U.S. forces captured Saddam Hussein."
67,1,"BBC Says Deceived by Dow Impersonator on Bhopal  LONDON (Reuters) - BBC World said on Friday it was duped in  an ""elaborate deception"" by a man who claimed to be a Dow  Chemical Co. spokesman and said the U.S. company accepted  responsibility for India's Bhopal disaster."
68,1,"Hurricane Creeps Toward Southeastern U.S. MIAMI - A menacing Hurricane Frances, packing 140 mph wind, crept closer Wednesday to the southeastern United States, and forecasters said Florida - still cleaning up after Charley - was at risk for another hurricane strike as soon as Friday.    As Frances closed on the Bahamas, it was expected to fluctuate in intensity and could become a Category 5 storm with winds of 156 mph or higher, said Jamie Rhome, a meteorologist with the National Hurricane Center in Miami..."
69,1,India peg back South Africa despite Kallis ton (Reuters) Reuters - Jacques Kallis hit his 17th test century but India's fast bowlers took wickets at regular intervals to restrict South Africa to 227 for five on the first day of the second and final test on Sunday.
70,1,Blast in Kabul Kills 7 at Compound of a U.S. Contractor At least two Americans died in a blast at the office of an American firm that provides security for President Hamid Karzai.
71,1,"Congress Leads Exit Polls in Key Indian State  BOMBAY (Reuters) - India's ruling center-left Congress  party was heading for a narrow win in elections in the key  western state of Maharashtra that is the heart of business and  Bollywood, two television exit polls showed on Wednesday."
72,1,"Deal May Let Northern Ireland MPs Speak in Republic #39;s Parliament Northern Irelands MPs and MEPs are to be given the chance to take part in debates in the Irish Republics Parliament if a comprehensive peace process deal is struck in the coming week, it was claimed today."
73,1,"First black judge joining British High Court Britain appointed its first black High Court judge yesterday and she predicted she would be ''the first of many. quot; The Department for Constitutional Affairs confirmed the appointment of Linda Dobbs, 53, the first black lawyer promoted beyond the ranks of circuit judges, who hear lesser cases. Joining the High Court will give her access to some of the country's most ..."
74,1,UN Envoy Decries Excessive Violence in Moving Sudanese Refugees The United Nation #39;s envoy to Sudan has criticized the Sudanese government for using what he says is  quot;too much violence quot; to relocate thousands of people displaced by the conflict in Darfur.
75,1,"Thais look to sky for hope THE Thai military turned to the power of origami yesterday in its attempt to bring peace to the countrys restive south. Air force planes dropped 100 million paper birds over the area, where fighting between "
76,1,"Flames engulf mosque in Netherlands THE HAGUE Netherlands -- Flames engulfed a mosque in southeastern Netherlands early Saturday, the latest in a string of fires at Muslim institutions since the killing of a Dutch filmmaker who was critical of Islam."
77,1,"Survey Says Political Parties Seen as Most Corrupt Institutions Political parties are seen as the institutions most afflicted by corruption, according to a survey released by a non-governmental organization that monitors corruption."
78,1,"Nigerian Rebels to Widen Conflict, Target Agip  LAGOS (Reuters) - Nigerian rebels fighting government  troops in the southern Port Harcourt area are poised to launch  an uprising across the entire oil-producing delta region to  force political reforms or gain sovereignty, a rebel leader  said on Sunday."
79,1,"Iran Says It's Fully Committed to Nuke Enrichment Freeze (Reuters) Reuters - Iran will honor its pledge to the\European Union and U.N. nuclear watchdog to freeze uranium\enrichment and all related activities, Tehran's chief delegate\to the International Atomic Energy Agency (IAEA) said Friday."
80,1,"Palestinians not doing enough, says Sharon Israel accused the Palestinian authorities on Monday of doing nothing to prevent attacks after five soldiers were killed in the deadliest assault since the death of Yasser Arafat more than a month ago."
81,1,"Annan says world no safer The Iraq war has done little to increase security across the world or halt the activities of international terrorists, United Nations Secretary-General Kofi Annan says."
82,1,MOFA says cross-strait issue misinterpreted Minister of Foreign Affairs Mark Chen () yesterday blamed the uneven levels of democratization in Singapore and Taiwan for Prime Minister Lee Hsien Loong #39;s () refusal on Sunday to support Taiwan if it provoked cross-strait conflict over 
83,1,"Soyuz spacecraft with three ISS crew on board lands in Kazakhstan (AFP) AFP - A Russian Soyuz spacecraft bringing back three astronauts from the International Space Station landed in Kazakhstan, Russian space officials announced."
84,1,Israel unusually restrained after bombing Israel was reacting with uncharacteristic calm after a suicide bombing on Monday in Tel Aviv by a Palestinian teenager killed three Israelis -- a test of Israel #39;s pledge to show restraint in the wake of Palestinian President Yasser Arafat #39;s illness.
85,1,"EU is urged to reach out to Turkey THE HAGUE -- An influential Dutch advisory body said yesterday that Islam was not a bar to membership in the European Union and recommended the organization open talks with Turkey, while insisting Ankara do more to meet EU human rights standards."
86,1,Peres facing attack from Labor MKs over continued talks with Likud Labor Party Chair Shimon Peres is facing growing opposition from his party over his decision to continue coalition talks with Likud despite the Likud convention #39;s resolution last week against bringing Labor into the government.
87,1,"N.Korea Says Reconsidering Place at Nuclear Talks  SEOUL (Reuters) - North Korea is seriously reconsidering  its role in talks on its nuclear plans because of what it sees  as a concerted campaign to topple the North's ruling system,  the North Korean Foreign Ministry said on Monday."
88,1,"Bush Tries to Help Break N.Irish Peace Deadlock (Reuters) Reuters - President Bush tried to help break a\deadlock in the Northern Ireland peace process on Friday,\telephoning Protestant leader Ian Paisley as negotiations\ground on in London and Belfast."
89,1,"Car bomb kills 17 in Baghdad BAGHDAD - A car bomb exploded in Baghdad?s commercial centre, killing 17 people and narrowly missing a US convoy that had passed by seconds earlier."
90,1,IAEA: Tons of Iraq explosives missing The International Atomic Energy Agency says 380 tons of powerful conventional explosives are missing from the Al Qaqaa facility south of Baghdad that was supposed to be under American military control.
91,1,"Trial of alleged terror chief Bashir to continue: judge? (Updated &lt;b&gt;...&lt;/b&gt; An Indonesian court Thursday dismissed defense arguments that the trial of alleged Southeast Asian terror chief Abu Bakar Bashir was illegal, and ordered that proceedings against him should continue."
92,1,"No decision yet on redeployment of troops in Iraq: Blair (AFP) AFP - Britain has not yet decided whether to send 650 troops to relieve US forces in Iraq, Prime Minister Tony Blair said Wednesday, while rejecting suggestions that such a move would be aimed at boosting US President George W. Bush's electoral campaign."
93,1,"Mass. Lawmakers Tout Kerry in 6 States (AP) AP - When the busload of campaign volunteers left Arlington, Mass., on Saturday to knock on doors in neighboring New Hampshire, Rep. Ed Markey was on it."
94,1,"EU, Turkey reach  quot;historic quot; agreement on entry talks The European Union (EU) and Turkeyreached an agreement on Friday to start talks next year on the country #39;s membership of the bloc."
95,1,"Volkswagen rules out pay rises for two years Volkswagen demanded a two-year wage freeze for the 170,000-strong workforce at Europe #39;s biggest car maker yesterday, provoking union warnings of imminent conflict at key pay and conditions negotiations."
96,1,"Bush lifts economic sanctions on Libya (AFP) AFP - US President George W. Bush removed most economic sanctions on Libya, clearing the way for huge compensation payments to the families of victims of the 1988 Lockerbie bombing."
97,1,"Darfur Displaced Angry as U.N., Govt Visit (Reuters) Reuters - Angry Darfuris who fled Arab\militias told the U.N.'s top envoy in Sudan Thursday they are\still not safe because the Janjaweed who tormented them at home\are among security forces guarding refugee camps."
98,1,"Zimbabwe to Bar Observers From Elections (AP) AP - Zimbabwe's government will prohibit African observers from monitoring national parliamentary elections next year if they have close links with Western countries, an official said Friday."
99,1,"Darfur Peace Talks Overshadowed by Fighting (Reuters) Reuters - Peace talks on Sudan's war-torn Darfur\region got under way Monday in Nigeria's capital, overshadowed\by fighting between rebels and government forces in the vast\desert area."
100,1,"Five Malaysian sailors in Spratly bird flu scare KUALA LUMPUR : Five Malaysian navy sailors have been hospitalised for bird flu tests after possibly coming into contact with diseased birds while patrolling the disputed Spratly islands, officials said on Friday."
101,1,"Clash of civilizations has landed in Holland Those who want proof the United States #39; efforts in Iraq have plunged the world into danger need only look at the usual suspects: Iran, Israel, Syria."
102,1,"Charity director kidnapped in Iraq Insurgents abducted the local director of CARE International from her car in Baghdad yesterday, targeting a charity worker who has championed ordinary Iraqis for decades."
103,1,"US Promotes Mideast Reform Amid Arab Skepticism Arab, Muslim and Western nations gather in Morocco on Saturday in an effort to promote economic and political reform in the Middle East that is widely seen within the region as US meddling."
104,1,"Managers Move Some Funds to Europe, Asia (Reuters) Reuters - U.S. fund managers seem inclined not\to make any big shifts in allocations among the major asset\classes, but a new Reuters poll shows money moving into Europe\outside of the Eurozone and into non-Japan Asia."
105,1,"U.S. Thinks Explosives Vanished in Spring '03 Pentagon officials have identified the period during which nearly 400 tons of powerful explosives from an Iraqi military facility vanished, leading to speculation over should claim responsibility for the disappearance."
106,1,"Over a dozen detained after suicide bomb attack on Pakistan mosque LAHORE, Pakistan - Pakistani police have detained more than a dozen people after a suicide bomber attacked a Shiite Muslim mosque in eastern city Lahore killing three people plus himself, a security official said Monday."
107,1,"U.S. Forces in Falluja Close on Guerrilla Stronghold (Reuters) Reuters - U.S. forces expect to be\positioned throughout the last remaining guerrilla stronghold\in Falluja by Tuesday, a Marine officer said on Saturday."
108,1,Germany drops junta prosecutions Germany drops proceedings against ex-Argentine junta officials thought to be involved in the killing of Germans.
109,1,"The Region: Wrong, yet winning On the anniversary of September 11, a curious paradox about the United States is evident: the sharp contrast between its policies #39; brilliant success in the Middle East and its strategies #39; abject failure there."
110,1,"EU Court Annuls EU100.8 Mln in Fines on German Banks (Update1) A European court struck down fines totaling 100.8 million euros (\$125 million) on HVB Group, Dresdner Bank AG and three German competitors for fixing European currency- conversion rates."
111,1,"Violent end to life of crime for India #39;s most wanted bandit NEW DELHI : India #39;s most wanted criminal, Koose Muniswamy Veerappan, has been shot dead after driving into a police trap. Veerapan, who has been accused of more than 100 "
112,1,"Prince Charles leaves Turkey after touring historic sites (AFP) AFP - Prince Charles left Turkey after touring religious and historic sites in this ancient southeastern city on the last leg of a two-day, three-stop visit."
113,1,"Mass burial for Haiti storm dead Flood victims in Haiti are buried in a mass grave, amid more warnings of the threat of disease."
114,1,"Lonely Italian Pensioner Gets Adopted (Reuters) Reuters - A lonely\pensioner who turned to Italy's classified pages to find\someone willing to ""adopt"" him as a grandfather is finally\heading to his new home and family in northern Italy this\weekend."
115,1,"Hurricane Ivan Kills 20 in Grenada, Heads West (Reuters) Reuters - Hurricane Ivan killed at least 20 people\as it laid waste to the tiny spice island of Grenada, officials\said on Wednesday as the storm swept through the Caribbean\heading west."
116,1,Sinn Fein Breaks New Ground over Power Sharing Sinn Fein leader Gerry Adams and former IRA commander Martin McGuinness will today talk face-to-face for the first time with a Northern Ireland Chief Constable.
117,1,"Group Enters Canadian Embassy in Beijing (AP) AP - Forty-three men, women and children using ladders clambered over a spiked fence around the Canadian Embassy on Wednesday in what appeared to be the biggest recent bid for asylum by North Koreans. One other man was stopped by police."
118,1,"Iran Wants Right to Enrich Uranium Iran won #39;t permit its diplomats to negotiate with European nations over its nuclear program if the goal of talks is to deprive Iran of the right to enrich uranium, Iran #39;s top nuclear negotiator said Monday."
119,1,A winter of promise for J amp;K? There is an air of optimism about the Kashmir talks to be held during Pakistani Prime Minister Shaukat Aziz #39;s forthcoming visit to Delhi.
120,1,"Report: Pakistan makes India offer on glacier Islamabad - Pakistan has assured India Pakistani forces will not seize a disputed glacier high in the Himalayas if Indian troops were to withdraw from it, a Pakistani newspaper said on Sunday."
121,1,"Japan to deport Fischer Japan issued a deportation order today against former world chess champion Bobby Fischer, who is wanted in the United States for defying sanctions, but his lawyer immediately filed an appeal, blocking the move."
122,1,"Top Shiite cleric insists vote be held on time even if America &lt;b&gt;...&lt;/b&gt; US warplanes blasted insurgent positions in Sadr City, and American ground troops pushed into the sprawling Baghdad slum Thursday in a "
123,1,"Ex-premier Bouchard still being treated for peritonitis in Montreal hospital (Canadian Press) Canadian Press - MONTREAL (CP) - Ex-premier Lucien Bouchard, recently hospitalized for peritonitis, hasn't been responding to antibiotic treatment but his life is not in danger, a hospital said Wednesday."
124,1,French PM hits out at hostage bid fiasco French prime minister Jean-Pierre Raffarin has denied allegations his government secretly endorsed a failed attempt by maverick congressional deputy Didier Julia to free two journalists held in Iraq.
125,1,"London shares up as Wall St climbs, WPP slips after Grey deal (AFP) AFP - Blue chips closed comfortably higher, lifted in late afternoon trade by a positive early performance by Wall Street, while a firm media sector and recovering oil stocks also boosted the FTSE 100, dealers said."
126,1,ADAMS #39; BUG GIFT FOR BLAIR SINN Fein boss Gerry Adams plans to start tomorrow #39;s Ulster peace talks by handing Tony Blair a bug found at the party #39;s offices.
127,1,ADB grants 200 million dollars for Philippines health sector (AFP) AFP - The Asian Development Bank (ADB) said it has approved two loans totalling 213 million dollars to improve the health sector in the Philippines.
128,1,"Front-Porch Chat: Birth of a Kerry Campaign Tactic John Kerry has held 10 ""front porch visit"" events  an actual front porch is optional  where perhaps 100 people ask questions in a low-key campaigning style."
129,1,British redeployment in Iraq meets with opposition The British Ministry of Defense confirmed on Sunday that the US has sent a request to the British government for redeployment of the British forces stationed in Iraq because the US troops stationed in Iraq are preparing for new military actions in Fallujah 
130,1,"Was Bush Wired? Ridiculous, Campaign Says (AP) AP - Campaign aides to President Bush on Saturday laughed off rampant Internet speculation about whether the president was wired to get help from advisers during his first debate with Sen. John Kerry. ""It's not true. It's ridiculous,"" Bush campaign spokesman Scott Stanzel said."
131,1,"Polls Show Worsening of U.S. Reputation LONDON - America's reputation around the world is hurting, according to a series of coordinated polls published Friday from 10 countries, including many of the United States' closest allies.    In eight of the countries where the surveys commissioned by major newspapers were conducted, more people said their view of America had worsened in the past two to three years than improved..."
132,1,"Three Japan Quake Victims Found After Four Days In a drama that gripped Japanese watching on live television, a two-year-old toddler was pulled alive from a car that had been buried under tons of rock and mud for nearly four days after a deadly earthquake."
133,1,Blair says Mid East peace is key to beating terror Tony Blair has redoubled his commitment to finding a resolution to the conflict between Israel and the Palestine. The prime minister told the Commons on Wednesday that bringing peace to the region was the  quot;key quot; to tackling international terrorism.
134,1,"Europe expected to say yes to Turkey Depending on which direction you are coming from, European leaders are meeting in Brussels today either to crash the EU dream or cut the ribbon on a vital bridge between Islam and the west."
135,1,World is  #39;in more danger #39; PAKISTAN #39;S president has warned that the war on terror has made the world a more dangerous place. Gen. Pervez Musharraf said the world was  quot;absolutely quot; less safe because military action had done nothing to tackle the causes of terrorism.
136,1,"Twenty-Five Hurt as Azores Plane Avoids Collision LISBON (Reuters) - Twenty-five TAP-Air Portugal passengers and crew were slightly injured when the plane made a hasty maneuver to avoid a mid-air collision just before landing on an island in The Azores on Friday, TAP said. "
137,1,"Suspect in Istanbul bomb trial says Al-Qaeda financed attacks (AFP) AFP - Al-Qaeda financed the bomb attacks against two synagogues and the British Consulate in Istanbul that killed a total of 63 people in November 2003, one of the suspects told a court."
138,1,"Bush to address UN assembly World leaders gathered at the United Nations on Tuesday to confront an agenda dominated by new terrorist threats, a humanitarian disaster in Sudan, turmoil in Iraq "
139,1,"New cracks in nuclear containment As North Korea, South Korea, and Iran raise risks of an arms race, the global challenge to nonproliferation grows."
140,1,"DUP won #39;t be  #39;bounced #39; into deal As Northern Irelands talks to revive power sharing remained delicately balanced, the DUP leader told colleagues at a dinner last night in North Antrim if the deal was to work it must include the transparent destruction of IRA weapons."
141,1,"Russia warns West MOSCOW: Foreign Minister Sergei Lavrov yesterday warned the West not to meddle with Russia #39;s Chechnya policy in the wake of a bloody hostage crisis, highlighting a growing rift over the issue between former Cold War foes."
142,1,"Democrats Discuss How to Reset Agenda (AP) AP - In the shadow of Bill Clinton and his gleaming new presidential library, leaders of the struggling Democratic Party held informal discussions this week of how to come back from their devastating Election Day losses."
143,1,Putin backs Bush in US poll Russian President Vladimir Putin has warned terrorist attacks in Iraq and around the world will increase if George W Bush is not re-elected in next month #39;s presidential poll.
144,1,"Violence, protests cripple Valley SRINAGAR: Unknown gunmen shot at and injured Altaf Ahmad Shah, son-in-law of hardline pro-Pakistan separatist leader Syed Ali Shah Geelani, inside a local mosque in the outskirts of Srvvinagar on Monday."
145,1,"Deadly storms leave 18 dead as  #39;Tokage #39; closes in on Tokyo AT LEAST 18 people were killed and 13 others missing yesterday as a powerful storm lashed Japan causing deadly mudslides, flash floods and prompting thousands to flee their homes."
146,1,"The educated say they #39;re at risk in Sudan OURE CASSONI, CHAD - She pulled tattered socks over her bony legs and stared at the ground, trying to hide the dirty, torn clothing she is so embarrassed to wear. "
147,1,"Indonesia #39;s President Swears in New Cabinet Indonesia #39;s new president has sworn in his cabinet, a day after his inauguration. But some of the names in the new administration have raised concerns among observers that politics might have won out over practicalities."
